STATNAME,,Total_Elec,YEAR,Total_Comp,Total_PG,Total_Schools
HIMACHAL PRADESH,,15440,2013-14,3982,15179,16297
PUNJAB,,29156,2013-14,15167,27924,24515
CHANDIGARH,,192,2013-14,184,180,122
UTTARAKHAND,,15298,2013-14,7489,13429,22279
HARYANA,,21454,2013-14,9686,17842,18504
DELHI,,5386,2013-14,4395,4400,4998
RAJASTHAN,,59846,2013-14,27604,58456,103484
UTTAR PRADESH,,94312,2013-14,26591,171950,236582
BIHAR,,6189,2013-14,3457,26199,75078
SIKKIM,,826,2013-14,681,858,1150
ARUNACHAL PRADESH,,1260,2013-14,929,1510,3621
NAGALAND,,1171,2013-14,1165,1313,2824
MANIPUR,,1262,2013-14,1168,2541,3859
MIZORAM,,1730,2013-14,935,1541,2922
TRIPURA,,1124,2013-14,547,2778,4226
MEGHALAYA,,2465,2013-14,1089,4210,12750
ASSAM,,10232,2013-14,4932,32550,61836
WEST BENGAL,,38934,2013-14,10222,32757,91381
JHARKHAND,,5564,2013-14,4014,14847,43810
ODISHA,,17562,2013-14,7136,20045,58511
CHHATTISGARH,,27506,2013-14,4745,26422,51581
MADHYA PRADESH,,34749,2013-14,18692,86232,140598
GUJARAT,,43045,2013-14,31387,32674,42333
DAMAN & DIU,,113,2013-14,65,56,100
DADRA & NAGAR HAVELI,,304,2013-14,114,121,309
MAHARASHTRA,,82737,2013-14,48699,79387,86547
ANDHRA PRADESH,,92926,2013-14,31525,59971,83875
KARNATAKA,,59016,2013-14,18369,38724,58400
GOA,,1477,2013-14,582,646,1119
LAKSHADWEEP,,44,2013-14,44,12,44
KERALA,,16001,2013-14,15774,12055,15398
TAMIL NADU,,55089,2013-14,30732,43150,56785
PUDUCHERRY,,717,2013-14,691,486,520
A & N ISLANDS,,396,2013-14,239,261,406
JAMMU & KASHMIR,,5299,2012-13,4228,10124,25715
HIMACHAL PRADESH,,12524,2012-13,3808,14719,16000
PUNJAB,,29587,2012-13,15008,24304,25313
CHANDIGARH,,187,2012-13,181,179,125
UTTARAKHAND,,12449,2012-13,7250,13342,22165
HARYANA,,20434,2012-13,9149,16889,18922
DELHI,,5054,2012-13,3974,3770,4656
RAJASTHAN,,48590,2012-13,25438,54673,99607
UTTAR PRADESH,,77213,2012-13,24437,175910,236545
BIHAR,,3258,2012-13,1228,23520,70052
SIKKIM,,700,2012-13,643,819,1158
ARUNACHAL PRADESH,,994,2012-13,868,1464,4214
NAGALAND,,1014,2012-13,1043,1321,2859
MANIPUR,,955,2012-13,1031,2381,3828
MIZORAM,,1477,2012-13,832,1484,3009
TRIPURA,,711,2012-13,603,2857,4176
MEGHALAYA,,1795,2012-13,977,4183,12691
ASSAM,,7443,2012-13,4452,32046,59546
WEST BENGAL,,29194,2012-13,9135,31289,92175
JHARKHAND,,4660,2012-13,3793,14338,43545
ODISHA,,14537,2012-13,6218,19943,58107
CHHATTISGARH,,13517,2012-13,4420,21960,53326
MADHYA PRADESH,,31788,2012-13,17516,80442,140713
GUJARAT,,40493,2012-13,30572,31557,41807
DAMAN & DIU,,113,2012-13,63,64,106
DADRA & NAGAR HAVELI,,248,2012-13,103,114,305
MAHARASHTRA,,75991,2012-13,45168,71437,85924
ANDHRA PRADESH,,88336,2012-13,30624,61615,103409
KARNATAKA,,66611,2012-13,17289,38291,58701
GOA,,1485,2012-13,540,629,1111
LAKSHADWEEP,,46,2012-13,43,17,43
KERALA,,13588,2012-13,14706,11126,15298
TAMIL NADU,,53849,2012-13,30036,42468,56535
PUDUCHERRY,,706,2012-13,693,472,525
A & N ISLANDS,,369,2012-13,238,248,415
