YEAR,STATE,arts_c11_b,sci_c11_b,com_c11_b,voc_c11_b,oth_c11_b,arts_c11_g,sci_c11_g,com_c11_g,voc_c11_g,oth_c11_g,Total_11,arts_c12_b,sci_c12_b,com_c12_b,voc_c12_b,oth_c12_b,arts_c12_g,sci_c12_g,com_c12_g,voc_c12_g,oth_c12_g,Total_12
2013-14,Uttar Pradesh,243917,370911,42053,13883,13227,443965,139032,17865,10223,2169,1257743,262045,376641,39969,14272,10633,460633,125937,16176,10459,1726,1281401
2013-14,Bihar,33750,48268,8143,340,105,47569,23419,3244,242,133,164393,28375,42848,8078,433,198,42183,19672,3254,312,195,144410
2013-14,Sikkim,929,404,357,247,123,1616,505,296,262,158,4107,532,362,288,188,26,985,508,225,183,71,2900
2013-14,Arunanchal Pradesh,6973,1362,341,0,0,6988,1088,324,0,0,17076,5402,1462,399,0,0,5265,1258,266,0,0,14052
2013-14,Nagaland,3473,1342,567,0,0,3412,856,379,0,0,10029,2697,1087,517,0,0,2789,770,310,0,0,8170
2013-14,Manipur,2471,7682,309,0,0,2459,6949,212,0,0,20082,2042,7464,254,0,0,2109,6017,186,0,0,18072
2013-14,Mizoram,3315,1150,288,175,0,3463,933,270,163,0,9419,3737,1288,332,254,0,4030,1266,329,160,0,10982
2013-14,Tripura,11686,2893,1058,8,0,10179,1637,186,0,0,27639,9768,2383,946,8,0,8269,1403,136,0,0,22905
2013-14,Meghalaya,4373,1297,834,0,0,6479,1296,653,10,0,14932,3455,1089,700,2,0,5408,1060,581,3,0,12293
2013-14,Assam,68447,8088,6059,760,895,74639,3399,2154,365,567,162786,55265,6946,5123,542,577,59915,3017,1904,240,291,132170
2013-14,West Bengal,318789,51657,28958,11396,672,348503,27387,8123,3263,583,783417,288244,47960,28396,8885,621,300940,25119,7743,2547,618,698402
2013-14,Jharkhand,44690,26886,13858,768,26,50300,12630,10307,399,0,158671,39755,24883,11476,509,2,44400,12041,8718,336,0,141273
2013-14,Odisha,235,349,77,0,0,207,309,75,0,0,1252,194,303,63,0,0,165,242,83,0,0,1050
2013-14,Chhattisgarh,37685,45367,20377,2585,5254,48657,41194,15482,1778,3005,208762,36364,54406,20627,2264,4224,45572,41458,14793,1391,2202,213220
2013-14,Madhya Pradesh,78586,131939,41521,4520,16604,83290,95134,32226,2525,10393,462696,63889,126061,40000,4065,15330,64096,84264,31754,2051,8749,410064
2013-14,Gujarat,118400,76943,96794,1160,2823,103229,42898,77605,1171,1850,515869,101679,68771,84497,1057,2387,87398,37727,69421,986,1529,449493
2013-14,Daman & Diu,261,454,413,39,0,409,313,345,15,0,2195,233,348,402,31,0,365,260,346,13,0,1954
2013-14,Dadara & Nagar Havelli,443,443,567,0,0,437,402,482,0,0,2774,486,279,519,0,0,418,221,458,0,0,2381
2013-14,Maharashtra,234211,235859,155824,40615,8415,241755,173989,139440,18891,5233,1181078,224332,215853,138427,35381,7621,222554,156264,129023,16667,4870,1086453
2013-14,Andhra Pradesh,18802,55042,20980,8502,1003,16837,54125,18435,5331,613,184221,19113,52026,19911,9101,1012,16594,48752,17149,7545,546,173545
2013-14,Karnataka,23469,13364,18124,225,135,26352,12353,16579,252,117,110241,17421,11182,12126,195,225,21574,11385,14276,186,151,87964
2013-14,Goa,1255,2088,2270,1920,108,2256,2076,2232,843,10,12177,690,1253,1506,1338,13,1553,1197,1566,664,8,7765
2013-14,Lakshadweep,293,163,60,0,0,163,271,37,0,0,987,294,165,83,0,0,175,230,57,0,0,1004
2013-14,Kerala,21933,53252,31993,8165,1428,24783,62618,31945,8221,1443,226524,21225,49200,30649,6939,1230,23473,58287,29086,6578,1381,211920
