Year,State,PTMG,PTFG,PTMP,PTFP
2013-14,DAMAN & DIU,98.73,99.38,93.94,84.95
2013-14,DADRA & NAGAR HAVELI,99.66,99.71,86.11,78.31
2013-14,MAHARASHTRA,99.69,99.86,99.17,98.45
2013-14,ANDHRA PRADESH,99.98,99.97,95.78,92.35
2013-14,KARNATAKA,99.08,99.39,94.85,93.47
2013-14,GOA,96.76,98.43,98.62,93.98
2013-14,LAKSHADWEEP,99.59,100,0,0
2013-14,KERALA,99.94,99.96,99.88,99.88
2013-14,TAMIL NADU,99.38,99.58,97.46,94.63
2013-14,PONDICHERRY,99.71,99.89,99.27,99.43
2013-14,ANDAMAN & NICOBAR ISLANDS,99.47,98.87,95.54,94.07
2014-15,A & N ISLANDS,99.339934,99.4372294,94.8186528,97.7622378
2014-15,ANDHRA PRADESH,99.7579744,99.8533531,96.6079556,92.9181769
2014-15,ARUNACHAL PRADESH,53.9811799,44.0989135,28.8766114,24.6856386
2014-15,ASSAM,45.6550335,52.0953353,7.2127459,10.6924488
2014-15,BIHAR,57.3483415,48.7441104,34.7337153,35.4818653
2014-15,CHANDIGARH,99.1316932,99.4178236,97.1204188,98.8981537
2014-15,CHHATTISGARH,78.3161772,78.2765632,31.1563386,27.0139131
2014-15,DADRA & NAGAR HAVELI,99.4174757,99.8046875,85,75.6622517
2014-15,DAMAN & DIU,99.6062992,98.4126984,94.7368421,84.9382716
2014-15,DELHI,100,100,100,100
2014-15,GOA,97.2183588,99.2183908,98.8666667,94.115801
2014-15,GUJARAT,99.9918547,99.9959135,99.6011658,99.1812454
2014-15,HARYANA,99.4222339,99.4329582,94.6531571,93.0853681
2014-15,HIMACHAL PRADESH,96.8320321,97.4989579,93.7702871,91.30143
2014-15,JAMMU & KASHMIR,58.9709109,69.5062494,41.8997405,42.2673578
2014-15,JHARKHAND,96.45478,96.5901302,66.515224,72.9727551
2014-15,KARNATAKA,98.2046116,98.7243736,94.9172941,91.7739658
2014-15,KERALA,98.0245325,98.548988,97.1749911,97.2430849
2014-15,LAKSHADWEEP,99.8076923,99.7229917,99,99
2014-15,MADHYA PRADESH,96.9639437,95.9569277,50.0400808,47.52114
2014-15,MAHARASHTRA,99.6145795,99.8272387,99.4081443,98.5410469
2014-15,MANIPUR,47.9734633,52.1239483,27.9371585,28.0863812
2014-15,MEGHALAYA,42.9893092,45.1138716,28.9992869,28.262927
2014-15,MIZORAM,94.5790934,94.16826,18.7401076,14.3006536
2014-15,NAGALAND,34.8411253,36.7077465,22.3567024,20.938387
2014-15,ODISHA,94.251774,94.6236559,74.2667878,54.180431
2014-15,PUDUCHERRY,99.9522673,100,99.6525365,99.8179501
2014-15,PUNJAB,98.4449309,98.2114379,87.4336089,82.7065122
2014-15,RAJASTHAN,97.630653,97.4130014,87.1719558,83.0045051
2014-15,SIKKIM,64.3832216,63.1283172,29.5246038,27.5009509
2014-15,TAMIL NADU,99.8017548,99.3258625,98.1896457,95.218572
2014-15,TELANGANA,99.8117591,99.8392671,96.1632545,93.9193825
2014-15,TRIPURA,45.3548312,46.9915827,28.5815102,28.8230241
2014-15,UTTAR PRADESH,91.8120326,89.7462847,69.2103443,63.0852817
2014-15,UTTARAKHAND,95.7674468,95.3940591,75.3340185,65.0375777
2014-15,WEST BENGAL,59.5300395,52.7093725,23.7549432,25.7958871
2015-16,A & N ISLANDS,99.1755006,99.4823123,95.9090909,97.8092784
2015-16,ANDHRA PRADESH,99.9702355,99.9836768,97.0065205,93.0032127
2015-16,ARUNACHAL PRADESH,56.9927909,46.4374482,31.1976702,25.4539952
2015-16,ASSAM,51.0145362,56.7750301,7.7948476,11.9764273
2015-16,BIHAR,64.0514126,57.3759139,37.1236594,38.6611073
2015-16,CHANDIGARH,99.3236715,99.4929797,96.6666667,98.8273234
2015-16,CHHATTISGARH,87.2360469,87.5070267,33.8914469,29.8403784
2015-16,DADRA & NAGAR HAVELI,99.7461929,100,86.0335196,76.7912773
2015-16,DAMAN & DIU,99.1935484,100,96.3636364,84.41247
2015-16,DELHI,100,100,100,100
2015-16,GOA,100,100,99.0722333,96.332629
2015-16,GUJARAT,99.9861542,99.9867187,98.8557405,98.0027796
2015-16,HARYANA,99.3958329,99.4142512,94.3373956,92.4028886
2015-16,HIMACHAL PRADESH,97.441423,98.1179644,94.2609771,92.2501101
2015-16,JAMMU & KASHMIR,57.3335078,68.1516042,42.7182893,43.1622939
2015-16,JHARKHAND,97.231055,97.1350353,66.0688281,72.7132262
2015-16,KARNATAKA,99.3832539,99.467019,95.7086875,93.434731
2015-16,KERALA,98.99843,99.2930049,97.7823605,98.0107725
2015-16,LAKSHADWEEP,99.522673,99.0566038,100,100
2015-16,MADHYA PRADESH,97.4476926,96.6158827,50.2647578,47.1784566
2015-16,MAHARASHTRA,99.6380609,99.8318123,99.225714,98.2515449
2015-16,MANIPUR,53.2711294,56.6084788,28.9181768,28.9232532
2015-16,MEGHALAYA,44.0638298,45.0804262,29.7370593,28.7826797
